id,updatefor,status,zonaloffice,company,incidentnumber,incidentdate,reportdate,contaminant,estimatedquantity,quantityrecovered,spillstopdate,typeoffacility,cause,initialcontainmentmeasures,sitelocationname,latitude,longitude,lga,estimatedspillarea,spillareahabitat,descriptionofimpact,statesaffected,attachments,formadate,formbdate,formcdate,jivdate,jivpresent,cleanupdate,cleanupcompleteddate,cleanupmethods,postcleanupinspectiondate,postimpactassessmentdate,remediationstart,remediationend,remediationtype,finalsamplingdate,finallabresultsdate,certificatedate,certificatenumber,lastupdatedby
40,,confirmed,,CHEVRON,,2006-01-07,,cr,0.0012,,,,eqf,,"Pennigton Terminal                                          [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
41,,confirmed,,CHEVRON,,2006-01-07,,cr,0.0002,,,,eqf,,"Mefa well No. 22                                               [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
42,,confirmed,,CHEVRON,,2006-01-09,,cr,0.008,,,,ome,,"Meren 2 Production Platform                          [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
43,,confirmed,,CHEVRON,,2006-02-10,,cr,0.004,,,,ome,,"Meren 2 Production Platform                         [Of]        ",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
44,,confirmed,,CHEVRON,,2006-04-08,,cr,0.125,,,,cor,,"Parabe Jacket # 1 North                                 [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
45,,confirmed,,CHEVRON,,2006-05-08,,cr,4.7547,,,,cor,,"Dehydration Unit- Escravos Tank farm          [La]",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
46,,confirmed,,CHEVRON,,2006-07-07,,cr,0.0004,,,,eqf,,"Meji Tacket No. 22                                           [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
47,,confirmed,,CHEVRON,,2006-07-07,,cr,0.0002,,,,eqf,,"Delta South PP                                                 [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
48,,confirmed,,CHEVRON,,2006-07-20,,cr,0.0849,,,,eqf,,"Okan field - South offshore area                     [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
49,,confirmed,,CHEVRON,,2006-07-25,,cr,0.0106,,,,ome,,"Wemco discharge line of Meren 1 PP           [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
50,,confirmed,,CHEVRON,,2006-07-25,,cr,7,,,,ome,,"Makaraba-Utonana 16"" DL                             [La]",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
51,,confirmed,,CHEVRON,,2006-07-26,,cr,0.8889,,,,ome,,"Dibi Junction #13                                             [La] ",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
52,,confirmed,,CHEVRON,,2006-08-10,,cr,0.7101,,,,sab,,"Abiteye-Olero  ",,,,,,,,,,,,,,,,,,,,,,,,,,NOSDRA
53,,confirmed,,CHEVRON,,2006-08-16,,cr,0.0035,,,,other:,,"Pennigton Terminal                                           [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
54,,confirmed,,CHEVRON,,2006-08-23,,cr,0.0089,,,,ome,,"Meji Jacket No. 22                                            [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
55,,confirmed,,CHEVRON,,2006-08-30,,cr,0.048,,,,sab,,"Dibi Remote Manifold Platform #23               [Of}",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
56,,confirmed,,CHEVRON,,2006-09-09,,cr,8.95,,,,ytd,,"Olero Creek remote manifold platform #16  [La]",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
57,,confirmed,,CHEVRON,,2006-09-20,,cr,0.01,,,,ome,,"Meji jacket No. 3                                              [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
58,,confirmed,,CHEVRON,,2006-09-26,,cr,0.003,,,,ome,,"Okan Jacket 82                                               [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
59,,confirmed,,CHEVRON,,2006-09-27,,cr,0.002,,,,other:,,"Okan Production Platform                              [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
60,,confirmed,,CHEVRON,,2006-10-09,,cr,0.003,,,,ome,,"Delta South Jacket 4                                       [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
61,,confirmed,,CHEVRON,,2006-10-10,,cr,0.003,,,,ome,,"Meren 2 Production Platform                         [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
62,,confirmed,,CHEVRON,,2006-10-21,,cr,0.003,,,,ome,,"Meji Jacket 3                                                      [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
63,,confirmed,,CHEVRON,,2006-10-22,,cr,1500,,,,cor,,"26"" Pipeline Abiteye- EScravos                        [La]  ",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
64,,confirmed,,CHEVRON,,2006-11-03,,cr,0.05,,,,eqf,,"Meji Jacket 22-3  Flowline                             [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
65,,confirmed,,CHEVRON,,2006-11-05,,cr,0.003,,,,cor,,"Delta South Jacket 4                                       [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
66,,confirmed,,CHEVRON,,2006-11-15,,cr,0.003,,,,eqf,,"Okan Jacket 74                                                    [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
67,,confirmed,,CHEVRON,,2006-11-19,,cr,0.006,,,,eqf,,"Okan Satellite 2                                                  [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
68,,confirmed,,CHEVRON,,2006-11-27,,cr,0.002,,,,eqf,,"Parabe Production Platform North Offshore  [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
69,,confirmed,,CHEVRON,,2006-12-08,,cr,0.002,,,,cor,,"West I Sap Jacket #12 North Escravos         [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
70,,confirmed,,CHEVRON,,2006-12-08,,cr,0.0283,,,,ome,,"Utonan Production platform                             [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
71,,confirmed,,CHEVRON,,2006-12-14,,cr,0.003,,,,eqf,,"Underneath SBM A Pennington Terminal      [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
72,,confirmed,,CHEVRON,,2007-01-03,,cr,0.003,,,,other:,,"Tapa PP/ South Offshore                               [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
73,,confirmed,,CHEVRON,,2007-01-03,,cr,0.003,,,,cor,,"Meji Jacket 22/ South offshore                      [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
74,,confirmed,,CHEVRON,,2007-01-03,,cr,0.003,,,,cor,,"Delta South Jacket 4                                       [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
75,,confirmed,,CHEVRON,,2007-01-05,,cr,0.006,,,,ome,,"Delta South Jacket 4                                       [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
76,,confirmed,,CHEVRON,,2007-01-09,,cr,0.05,,,,other:,,"Olero RMP 10 Slot North Offshore Area          [Sw]   ",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
77,,confirmed,,CHEVRON,,2007-01-12,,cr,0.12,,,,other:,,"Dibi RMP 22 Slot, North Offshore Area            [Sw]                                              [SW]          ",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
78,,confirmed,,CHEVRON,,2007-02-07,,cr,0.003,,,,other:,,"Mefa Jacket #1/South Ofshore Area                  [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
79,,confirmed,,CHEVRON,,2007-02-08,,cr,0.001,,,,eqf,,"Meren/Production Platform                               [Of] ",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
80,,confirmed,,CHEVRON,,2007-02-09,,cr,0.02,,,,other:,,"Behind Abiteye Flowstation                              [Sw]",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
81,,confirmed,,CHEVRON,,2007-02-11,,cr,0.003,,,,other:,,"Parabe Production Platform                             [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
82,,confirmed,,CHEVRON,,2007-02-13,,ch,0.12,,,,,,"Dibi RMP #, Onshore Escravos                     [Sw]",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
83,,confirmed,,CHEVRON,,2007-02-14,,other:,0.003,,,,cor,,"Okan Jacket 48, South Offshore                    [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
84,,confirmed,,CHEVRON,,2007-02-15,,cr,0.04,,,,other:,,"Okan Satellite 2   South offshore                   [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
85,,confirmed,,CHEVRON,,2007-02-16,,cr,0.02,,,,cor,,"Meji Jacket 26/ South offshore                      [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
86,86,confirmed,wa,CHEVRON,,2007-02-24,2007-02-24,re,0.1069,,2007-02-24,,eqf,bm,"Makaraba Manifold II 6"" production line ( 19A - 2 -6), Warri South west L.G.A., Delta State.",,,Warri-South-West,,sw,"No visible impact observed, within the company's right of way.",DE,[],2007-03-13,2007-03-13,2007-03-13,2007-02-28,"nosdra,mnstry,cmmnt,cmpny",,,,,,,,,,,2010-12-03,NOSDRA/RS/000412,"NOSDRA, 2014-08-13 WA002, 2014-12-03 AB008, 2016-04-29 WA003"
87,,confirmed,,CHEVRON,,2007-03-09,,other:,0.003,,,,eqf,,"Agbami # 18 / Deepwater                                 [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
88,,confirmed,,CHEVRON,,2007-03-16,,cr,5,,,,sab,,"Dibi RMP #22 & 23 Slot North Offshore        [Sw]",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
89,,confirmed,,CHEVRON,,2007-03-19,,,0.003,,,,cor,,"Okan Jacket 64/ South Offshore                       [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
90,,confirmed,,CHEVRON,,2007-03-25,,cr,0.005,,,,other:,,"Abiteye 26"" Pipeline (ROW)                             [Sw] ",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
91,,confirmed,,CHEVRON,,2007-03-26,,,0.178,,,,eqf,,"Agbami # 10 ST/ Deepwater                             [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
92,,confirmed,,CHEVRON,,2007-03-26,,,1,,,,other:,,"Escravos Slipway",,,,,[Co],,,,,,,,,,,,,,,,,,,,,NOSDRA
93,,confirmed,,CHEVRON,,2007-03-27,,cr,0.048,,,,sab,,"Dibi RMP # 22 Onshore                                   [Sw]",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
94,,confirmed,,CHEVRON,,2007-03-29,,re,0.05,,,,ome,,"REPS Barge @ Dibi North Onshore               [Sw]",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
95,,confirmed,,CHEVRON,,2007-04-04,,cr,0.003,,,,eqf,,"Parabe Production Platform                             [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
96,,confirmed,,CHEVRON,,2007-04-05,,cr,0.002,,,,cor,,"Delta Production Platform South Offshore          [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
97,,confirmed,,CHEVRON,,2007-04-09,,cr,0.02,,,,other:,,"Okan field                                                          [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
98,,confirmed,,CHEVRON,,2007-04-18,,re,3.14,,,,eqf,,"HD - 1000 Meji GGCP                                      [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
99,,confirmed,,CHEVRON,,2007-04-18,,cr,5.9,,,,sab,,"Dibi RMP 22 and 23                                         [La]",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
100,,confirmed,,CHEVRON,,2007-04-19,,cr,0.083,,,,ome,,"Dibi EPS  Barge                                                [Sw]",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
101,,confirmed,,CHEVRON,,2007-04-21,,cr,0.098,,,,eqf,,"Escravos                                                             [La]",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
102,,confirmed,,CHEVRON,,2007-04-21,,cr,0.07,,,,ome,,"Dibi EPS  Barge                                                [Sw]",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
103,,confirmed,,CHEVRON,,2007-04-24,,cr,1.31,,,,sab,,"Dibi RMP 22 and 23                                         [Sw]",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
104,,confirmed,,CHEVRON,,2007-04-29,,cr,0.07,,,,cor,,"Meji Production Platform South Offshore            [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
105,,confirmed,,CHEVRON,,2007-05-03,,re,0.24,,,,eqf,,"Escravos Slipway                                           [Co]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
106,,confirmed,,CHEVRON,,2007-05-09,,cr,,,,,,,"24"" UPS- Rapele T/L @ Ugbokodo",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
107,,confirmed,,CHEVRON,,2007-05-09,,cr,6.55,,,,sab,,"Dibi RMP #23 Slot                                            [Sw]",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
108,,confirmed,,CHEVRON,,2007-05-10,,cr,0.003,,,,other:,,"Around Okan QuartersPlatform 1&2               [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
109,,confirmed,,CHEVRON,,2007-05-10,,cr,0.003,,,,other:,,"Okan field                                                          [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
110,,confirmed,,CHEVRON,,2007-05-11,,cr,0.003,,,,eqf,,"Okan Jacket 21 / South Offshore Area            [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
111,,confirmed,,CHEVRON,,2007-05-13,,cr,0.001,,,,other:,,"Parabe Production Platform North Offshore      [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
112,,confirmed,,CHEVRON,,2007-05-19,,cr,0.003,,,,eqf,,"Delta South Well Jacket # 19                             [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
113,,confirmed,,CHEVRON,,2007-05-21,,cr,3.66,,,,cor,,"Malu Jkt 19/ North Offshore                                [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
114,114,confirmed,wa,CHEVRON,NOSDRA/056/2007,2007-05-22,2007-05-22,cr,3.59,,,fl,cor,,"Abiteye Jkt 19 Slot, Warri SouthWest L.G.A., Delta State.",,,Warri-South-West,,sw,"Surface water was impacted, the spill was within the company's right of way.",DE,[],2007-06-01,,,2007-06-05,"nosdra,mnstry,cmmnt,cmpny",,,,,,,,,,,,,"NOSDRA, 2014-08-14 WA002, 2016-04-29 WA003"
115,,confirmed,,CHEVRON,,2007-05-25,,cr,0.8,,,,sab,,"Dibi RMP 22 &23 Slots  #9                                [Sw]",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
116,,confirmed,,CHEVRON,,2007-05-25,,cr,0.29,,,,sab,,"Olero Creek remote manifold platform #7          [La]",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
117,,confirmed,,CHEVRON,,2007-05-26,,cr,0.003,,,,cor,,"Meji Production Platform South Offshore           [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
118,,confirmed,,CHEVRON,,2007-05-28,,cr,0.36,,,,other:,,"Escravos Dock                                                     [La]",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
119,,confirmed,,CHEVRON,,2007-05-29,,cr,0.08,,,,sab,,"Dibi RMP 23 Slot                                                 [Sw]",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
120,,confirmed,,CHEVRON,,2007-05-31,,cr,5,,,,ome,,"Dehydration Unit- Escravos Tank farm                [La]",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
121,,confirmed,,CHEVRON,,2007-06-17,,cr,0.12,,,,other:,,"Canal Water around Olero Facility…..                [Sw]",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
122,,confirmed,,CHEVRON,,2007-06-19,,cr,0.003,,,,other:,,"Meji Jacket #3/South Offshore Area…….             [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
123,,confirmed,,CHEVRON,,2007-06-20,,cr,0.025,,,,eqf,,"Dehydration Facility, Escravos……….                [Ot] ",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
124,,confirmed,,CHEVRON,,2007-06-21,,cr,0.003,,,,other:,,"Meji Jacket #26/South Offshore Area……           [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
125,,confirmed,,CHEVRON,,2007-06-26,,cr,0.1,,,,sab,,"Dibi RMP 22 Slot                                                [SW]          ",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
126,,confirmed,,CHEVRON,,2007-06-29,,cr,0.014,,,,other:,,"Delta Field                                                          [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
127,,confirmed,,CHEVRON,,2007-07-05,,cr,0.69,,,,eqf,,"Opuekeba Production Platform                          [La]",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
128,,confirmed,,CHEVRON,,2007-07-12,,cr,0.238,,,,other:,,"Tapa PP/ South Offshore                               [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
129,,confirmed,,CHEVRON,,2007-07-14,,re,0.01,,,,eqf,,"Escravos Dock",,,,,other,,,,,,,,,,,,,,,,,,,,,NOSDRA
130,,confirmed,,CHEVRON,,2007-07-20,,cr,0.003,,,,other:,,"Meji Jacket #3/South Offshore Area…….             [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
131,,confirmed,,CHEVRON,,2007-07-21,,cr,0.72,,,,,,"Around Delta South Jacket #28                            [Of]                 ",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
132,,confirmed,,CHEVRON,,2007-07-22,,cr,10,,,,,,"Canal Water around Olero Facility…..              [Sw]",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
133,,confirmed,,CHEVRON,,2007-07-26,,cr,0.004,,,,other:,,"Okan Jacket 1/South Offshore Area                 [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
134,,confirmed,,CHEVRON,,2007-08-05,,cr,0.01,,,,eqf,,"Abiteye Jacket #9                                               [Sw] ",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
135,,confirmed,,CHEVRON,,2007-08-07,,cr,0.003,,,,other:,,"Meji Jacket #26/South Offshore Area……           [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
136,,confirmed,,CHEVRON,,2007-08-13,,cr,7,,,,other:,,"Around Kito Jacket 2                                         [Of] ",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
137,,confirmed,,CHEVRON,,2007-08-14,,cr,1,,,,,,"Escravos Dock                                                 [Ot]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
138,,confirmed,,CHEVRON,,2007-08-28,,cr,0.003,,,,other:,,"Meren 2 Production Line                                  [Of]",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
