status,company,contaminant,cause,sitelocationname,spillareahabitat,statesaffected,incident_year,incident_month
0,34,17,11,3734,16,33,2011.0,10.0
0,34,17,11,6266,16,19,2009.0,6.0
0,34,17,2,9500,44,5,2011.0,5.0
0,30,17,13,6875,32,1,2021.0,5.0
0,34,17,1,7685,36,5,2021.0,7.0
0,34,17,11,2448,44,5,2024.0,6.0
0,34,17,11,7133,16,33,2015.0,5.0
0,70,17,11,8083,16,33,2008.0,8.0
0,30,24,3,7479,32,1,2021.0,4.0
0,22,17,1,6083,57,33,2026.0,4.0
0,66,17,11,240,44,5,2013.0,1.0
0,58,17,11,10306,16,10,2013.0,1.0
0,66,17,11,8724,16,33,2015.0,5.0
0,22,17,11,6042,16,33,2025.0,6.0
0,34,17,12,7166,16,33,2010.0,12.0
0,34,17,11,7134,16,33,2014.0,3.0
3,66,17,11,3174,16,33,2023.0,7.0
2,34,17,11,2857,44,5,2014.0,7.0
0,66,17,1,10271,44,8,2013.0,12.0
0,66,17,11,1684,44,5,2016.0,1.0
3,34,17,11,3663,16,33,2014.0,3.0
0,30,17,3,10020,34,1,2007.0,7.0
0,66,17,11,7735,16,33,2007.0,6.0
0,37,17,11,9276,6,33,2024.0,10.0
0,34,17,11,7050,16,33,2007.0,3.0
0,58,17,11,1619,44,8,2014.0,8.0
0,66,17,0,5523,36,8,2024.0,6.0
0,7,17,11,1761,44,8,2024.0,12.0
0,30,24,1,7240,32,1,2007.0,5.0
0,7,17,0,9715,32,43,2016.0,1.0
2,66,17,1,6147,44,5,2017.0,8.0
3,63,17,11,9689,16,19,2022.0,9.0
3,34,17,11,11213,16,43,2014.0,5.0
0,34,17,11,1835,16,33,2023.0,10.0
0,7,95,11,6117,57,43,2016.0,5.0
0,34,17,11,3750,16,33,2012.0,12.0
0,66,17,11,3931,16,33,2019.0,8.0
0,34,17,11,3887,16,33,2022.0,7.0
0,58,17,11,8050,16,15,2011.0,8.0
2,34,17,11,5083,16,33,2018.0,9.0
0,58,17,11,11230,16,28,2013.0,5.0
0,34,14,11,8967,16,33,2022.0,12.0
0,58,88,11,10280,16,8,2014.0,7.0
0,66,17,11,1265,16,33,2007.0,4.0
0,45,17,11,1609,16,8,2015.0,4.0
0,34,14,11,8871,16,33,2018.0,11.0
2,34,14,11,7016,16,33,2019.0,3.0
0,7,17,11,817,44,8,2009.0,5.0
0,66,17,11,795,44,33,2011.0,8.0
0,34,17,11,2854,44,5,2014.0,5.0
0,70,88,12,8559,16,33,2009.0,1.0
0,34,17,11,5284,44,43,2007.0,2.0
0,34,17,11,9336,16,33,2007.0,11.0
0,34,17,11,3644,44,5,2011.0,9.0
0,34,17,11,3710,44,5,2013.0,5.0
0,34,17,11,261,16,33,2008.0,9.0
0,66,17,11,4313,16,33,2010.0,3.0
0,66,17,1,7596,32,8,2013.0,9.0
0,23,17,0,4489,44,8,2025.0,9.0
0,70,17,13,7565,44,43,2014.0,2.0
0,23,17,0,3855,44,8,2022.0,1.0
0,7,17,3,8394,32,43,2007.0,10.0
0,23,17,0,4546,44,8,2023.0,5.0
0,66,17,11,1266,16,5,2011.0,11.0
0,66,17,11,6326,16,33,2011.0,5.0
0,66,17,11,3382,16,33,2023.0,2.0
0,66,17,11,6625,44,5,2016.0,11.0
0,34,17,11,2260,44,5,2010.0,3.0
0,34,17,11,2871,44,5,2017.0,7.0
0,34,17,11,8214,16,33,2013.0,5.0
0,34,17,11,2057,44,5,2012.0,8.0
0,66,17,11,3137,44,33,2010.0,1.0
0,30,17,0,10826,32,1,2008.0,4.0
0,34,17,1,5287,44,5,2014.0,1.0
0,66,17,0,4262,16,33,2022.0,8.0
0,7,17,12,6339,57,43,2012.0,11.0
0,30,24,3,10762,32,1,2009.0,5.0
0,7,95,12,6516,32,43,2009.0,5.0
2,13,83,8,7497,32,43,2020.0,2.0
0,34,20,1,7151,16,33,2011.0,1.0
0,34,17,11,2652,16,33,2022.0,12.0
0,66,17,11,1828,16,33,2024.0,7.0
3,34,17,0,1514,16,5,2021.0,2.0
0,7,24,1,8139,32,43,2012.0,1.0
0,13,95,3,9255,32,43,2008.0,2.0
0,34,17,11,10531,44,5,2021.0,12.0
0,34,17,11,2081,44,5,2013.0,1.0
0,34,17,11,2449,44,5,2024.0,4.0
0,36,17,11,8681,44,8,2019.0,11.0
0,34,17,0,8868,16,33,2011.0,2.0
0,34,17,11,1349,44,5,2014.0,11.0
0,23,17,11,4551,44,8,2023.0,4.0
0,34,17,11,9413,16,33,2012.0,12.0
0,34,14,11,9396,16,33,2021.0,6.0
2,13,85,10,7502,32,43,2020.0,2.0
0,66,17,0,800,16,5,2009.0,5.0
3,34,17,0,7079,16,33,2014.0,10.0
0,66,17,11,3298,16,33,2021.0,12.0
0,34,17,11,1441,44,5,2013.0,12.0
0,66,17,11,1659,57,43,2017.0,9.0
0,66,17,11,922,16,33,2019.0,4.0
0,34,17,11,7023,16,33,2017.0,6.0
0,7,17,3,8352,32,43,2007.0,8.0
0,34,17,11,2676,16,33,2023.0,10.0
0,34,17,11,664,36,33,2023.0,6.0
0,30,17,12,10858,32,1,2008.0,4.0
0,7,17,3,8368,32,43,2014.0,2.0
0,34,17,11,498,44,5,2019.0,3.0
0,30,17,0,10876,32,43,2021.0,4.0
0,34,17,11,9407,16,33,2013.0,7.0
0,34,17,11,2940,44,5,2013.0,12.0
2,34,17,12,2318,44,5,2015.0,11.0
0,30,24,12,7509,32,1,2008.0,3.0
0,30,24,2,7582,34,1,2007.0,9.0
0,34,17,11,3708,16,33,2009.0,8.0
0,63,14,11,623,16,8,2024.0,1.0
0,66,17,11,3231,16,33,2024.0,4.0
0,66,17,11,1767,36,33,2024.0,8.0
0,34,95,11,1444,44,5,2014.0,8.0
0,30,24,12,10335,32,1,2008.0,8.0
0,34,17,11,5675,36,5,2024.0,5.0
0,34,17,11,3648,44,5,2009.0,4.0
0,66,17,11,3255,57,33,2023.0,7.0
0,34,17,11,1146,16,19,2023.0,8.0
0,66,17,11,702,44,8,2007.0,10.0
0,58,17,11,8006,16,10,2011.0,10.0
0,34,17,11,2729,44,5,2013.0,9.0
0,66,17,11,1801,16,33,2024.0,8.0
0,34,17,11,9335,16,33,2008.0,7.0
0,66,17,11,3619,16,33,2008.0,1.0
0,34,17,11,4069,44,5,2013.0,11.0
0,34,17,11,2067,44,5,2012.0,4.0
0,66,4,11,3391,16,33,2022.0,8.0
0,66,17,11,918,16,0,2020.0,6.0
3,66,21,11,4656,16,33,2023.0,2.0
0,66,17,11,10666,16,33,2018.0,8.0
0,66,17,11,2034,44,33,2011.0,2.0
0,52,17,11,4035,44,5,2025.0,2.0
0,34,17,11,2302,44,43,2012.0,9.0
0,66,17,0,3913,44,33,2014.0,8.0
0,34,14,11,7005,16,33,2019.0,2.0
0,16,17,11,6733,16,33,2022.0,1.0
0,30,17,1,8731,32,1,2010.0,1.0
0,34,17,11,2789,44,5,2008.0,8.0
0,30,24,2,6986,32,1,2013.0,1.0
0,34,17,11,4103,16,33,2023.0,7.0
0,30,17,1,7412,32,1,2008.0,6.0
0,34,14,11,8904,16,43,2016.0,9.0
0,45,17,11,8632,16,8,2015.0,12.0
0,66,17,11,401,16,8,2006.0,5.0
0,38,17,1,9308,16,8,2026.0,6.0
0,66,17,11,3425,16,33,2016.0,3.0
0,0,17,12,9743,44,43,2013.0,3.0
0,30,24,12,10957,32,1,2008.0,2.0
0,34,14,11,5729,44,5,2018.0,6.0
0,52,17,11,3115,16,8,2025.0,12.0
0,7,24,0,9711,32,43,2007.0,2.0
0,66,17,11,4129,16,33,2013.0,9.0
0,34,17,11,4173,16,33,2019.0,1.0
0,66,17,11,8698,44,5,2008.0,5.0
0,34,17,13,3734,16,33,2010.0,11.0
0,66,17,0,6769,44,33,2013.0,11.0
0,66,95,11,3859,44,5,2024.0,6.0
0,58,17,11,10314,16,10,2014.0,3.0
0,34,17,11,5660,44,5,2017.0,7.0
0,66,1,11,3869,16,8,2006.0,10.0
0,12,17,11,7271,44,8,2017.0,5.0
0,34,17,1,7699,16,5,2013.0,12.0
0,30,24,12,6655,32,1,2013.0,7.0
0,34,17,11,1285,44,5,2023.0,5.0
0,34,17,0,6250,16,19,2021.0,12.0
0,66,17,11,1475,23,33,2020.0,2.0
0,63,17,11,9690,16,43,2020.0,12.0
0,34,17,11,632,44,5,2015.0,6.0
3,34,14,1,8853,16,33,2014.0,7.0
0,34,17,11,1403,16,19,2023.0,1.0
0,66,17,11,3976,44,33,2018.0,7.0
0,63,17,11,3326,16,8,2023.0,9.0
0,30,12,1,10962,32,1,2007.0,7.0
0,34,17,11,2133,44,5,2014.0,1.0
0,66,17,11,1786,16,19,2011.0,12.0
3,66,17,11,917,16,0,2020.0,8.0
0,66,17,11,6159,44,5,2013.0,5.0
0,34,17,11,6814,44,5,2012.0,4.0
2,16,17,0,5595,57,33,2018.0,4.0
0,34,17,11,2269,44,5,2008.0,7.0
0,66,17,11,4746,16,33,2020.0,12.0
0,66,17,11,1032,16,33,2018.0,12.0
0,66,17,2,7282,16,5,2024.0,6.0
0,34,17,11,10511,44,5,2022.0,10.0
0,30,88,1,10825,32,1,2005.0,4.0
0,30,24,12,1545,32,1,2008.0,5.0
0,66,17,11,6606,44,33,2014.0,6.0
0,34,17,11,10434,16,5,2015.0,11.0
0,7,17,1,6619,44,8,2016.0,6.0
0,66,17,3,5964,16,33,2008.0,10.0
0,66,17,11,5970,16,33,2012.0,1.0
0,34,17,11,5404,44,5,2024.0,5.0
0,12,17,1,8275,49,10,2024.0,12.0
0,34,17,11,1962,16,33,2023.0,1.0
0,30,12,1,9892,32,1,2007.0,2.0
0,66,17,11,5955,16,33,2007.0,5.0
0,34,17,11,674,23,33,2018.0,6.0
0,34,17,11,8245,16,33,2011.0,7.0
0,16,17,11,6865,44,33,2021.0,10.0
3,34,17,11,2355,44,43,2014.0,4.0
0,34,17,11,6587,44,5,2014.0,12.0
0,30,17,1,7462,32,1,2008.0,9.0
0,66,17,11,3219,44,8,2013.0,9.0
0,34,17,11,2875,44,5,2017.0,6.0
0,7,17,1,8404,32,43,2008.0,10.0
0,66,17,0,4634,57,43,2021.0,3.0
0,34,17,11,2114,44,5,2011.0,3.0
0,34,14,11,11251,16,33,2018.0,3.0
0,66,17,11,5777,44,33,2014.0,7.0
0,34,17,11,5716,16,5,2015.0,8.0
0,66,17,11,869,16,0,2012.0,4.0
0,34,17,11,1404,16,33,2008.0,6.0
0,30,95,0,10911,32,1,2009.0,6.0
0,7,17,3,8396,16,43,2008.0,8.0
0,34,17,11,2197,44,5,2024.0,2.0
0,34,17,1,2234,44,5,2010.0,7.0
0,7,17,12,7629,32,43,2010.0,4.0
0,12,17,0,5713,16,10,2021.0,12.0
0,34,17,11,108,44,5,2015.0,1.0
0,45,17,11,4468,44,8,2016.0,8.0
0,0,17,11,7803,16,43,2013.0,6.0
0,34,17,11,4890,16,33,2012.0,1.0
0,34,17,11,9473,16,33,2012.0,5.0
0,34,17,0,505,44,5,2020.0,6.0
0,34,17,11,1531,44,5,2014.0,9.0
0,34,17,11,7103,16,33,2007.0,2.0
0,58,17,11,8004,16,25,2011.0,2.0
0,70,17,0,7966,16,33,2015.0,10.0
0,34,17,11,2194,44,5,2013.0,5.0
0,66,17,0,3833,16,33,2010.0,12.0
0,66,17,11,3291,16,33,2023.0,11.0
0,34,17,11,3791,44,43,2006.0,7.0
0,66,17,11,3608,23,33,2022.0,11.0
0,66,17,1,3497,44,8,2009.0,10.0
0,30,17,1,7546,32,1,2006.0,9.0
0,34,17,11,2116,44,5,2011.0,3.0
0,34,17,11,294,21,8,2014.0,2.0
0,58,95,11,8064,16,13,2011.0,6.0
0,34,17,11,1420,44,5,2016.0,8.0
0,58,17,11,10663,16,8,2013.0,12.0
0,34,17,11,9842,16,43,2007.0,3.0
0,7,88,1,7526,32,43,2007.0,5.0
0,34,17,11,571,16,8,2019.0,5.0
0,23,17,1,7650,23,8,2014.0,9.0
3,34,19,11,8885,16,33,2015.0,12.0
0,66,17,11,6923,44,5,2007.0,5.0
0,34,17,11,4921,16,33,2010.0,2.0
0,30,24,1,11161,32,1,2010.0,11.0
0,34,17,11,9488,36,43,2015.0,10.0
0,30,88,1,10019,16,1,2006.0,8.0
0,45,17,1,5546,16,10,2014.0,7.0
0,61,17,11,5169,16,8,2026.0,4.0
0,30,24,1,7907,57,1,2019.0,2.0
0,34,17,11,4051,16,33,2023.0,4.0
2,34,95,11,2982,44,5,2014.0,7.0
0,34,17,11,2448,44,5,2024.0,4.0
0,34,17,11,2110,44,5,2011.0,3.0
0,34,17,11,3085,16,33,2023.0,1.0
0,34,17,11,3531,44,43,2006.0,3.0
0,58,17,11,7205,16,8,2013.0,5.0
0,66,17,11,3201,44,8,2014.0,11.0
3,34,17,11,750,57,5,2015.0,4.0
0,34,17,11,9382,16,33,2014.0,1.0
0,66,88,11,9242,16,8,2007.0,4.0
0,66,17,11,1789,16,43,2019.0,12.0
0,34,17,11,9476,16,33,2008.0,7.0
0,46,88,11,6288,25,31,2023.0,10.0
0,34,17,11,7187,16,33,2011.0,6.0
0,13,24,2,7495,32,43,2017.0,4.0
0,34,17,11,482,44,5,2017.0,12.0
0,34,14,11,8889,36,33,2018.0,8.0
0,34,17,11,2257,44,5,2007.0,6.0
0,34,17,11,9074,16,33,2021.0,8.0
0,66,17,11,7946,44,8,2014.0,6.0
0,66,17,1,6626,16,5,2013.0,9.0
3,34,17,11,1869,16,33,2021.0,4.0
0,70,17,11,5131,16,43,2015.0,10.0
0,30,24,12,9886,32,1,2009.0,2.0
0,66,17,11,793,16,0,2019.0,12.0
0,7,17,3,8330,32,43,2011.0,7.0
2,34,17,11,474,44,5,2018.0,2.0
0,52,17,11,1991,44,5,2024.0,9.0
0,66,17,2,6641,32,33,2012.0,12.0
0,36,17,11,6336,16,8,2020.0,12.0
0,34,17,11,7422,16,33,2023.0,2.0
0,34,17,11,2346,44,43,2014.0,3.0
0,34,17,1,8966,16,33,2013.0,5.0
0,34,17,11,1898,16,33,2019.0,9.0
0,34,17,11,2938,44,5,2021.0,2.0
0,34,17,11,1144,36,19,2014.0,9.0
3,66,17,1,3547,44,5,2014.0,9.0
0,34,17,11,1748,44,5,2022.0,11.0
2,34,17,1,2191,44,43,2015.0,9.0
0,30,17,1,7461,32,1,2009.0,3.0
0,30,17,1,10869,32,1,2011.0,6.0
0,30,17,1,6649,32,1,2007.0,10.0
0,66,17,11,5994,16,33,2015.0,2.0
0,34,95,11,2570,44,5,2015.0,5.0
0,34,17,11,262,16,33,2012.0,12.0
0,34,17,1,7701,16,33,2011.0,6.0
3,34,17,11,1418,44,5,2014.0,5.0
0,63,17,11,689,44,8,2026.0,5.0
0,45,17,11,8641,16,8,2016.0,1.0
0,66,17,0,6140,16,33,2007.0,4.0
0,30,14,1,6987,32,1,2014.0,5.0
0,30,24,3,10967,32,1,2008.0,3.0
0,34,17,11,5000,44,5,2010.0,12.0
3,66,17,11,4321,16,33,2014.0,11.0
0,34,17,11,5306,44,43,2007.0,1.0
0,16,17,11,6233,44,33,2019.0,3.0
0,34,17,12,10692,16,33,2010.0,12.0
0,66,17,11,11243,16,35,2016.0,6.0
0,34,14,0,6201,16,8,2024.0,1.0
0,34,17,11,2249,44,5,2011.0,6.0
0,34,17,11,2448,44,5,2024.0,5.0
0,66,17,11,4226,16,33,2011.0,1.0
0,34,17,11,2728,44,5,2016.0,7.0
0,66,17,3,6632,16,33,2010.0,2.0
0,34,17,11,7332,44,33,2021.0,11.0
0,66,17,11,11141,16,33,2008.0,5.0
0,66,17,11,5247,16,5,2013.0,4.0
0,30,24,7,10880,32,1,2021.0,8.0
0,30,17,1,10969,16,1,2006.0,3.0
0,66,17,11,9542,57,8,2013.0,7.0
3,34,95,11,5761,36,43,2015.0,3.0
0,30,17,1,6562,32,1,2007.0,6.0
0,34,12,2,10494,16,33,2010.0,2.0
0,66,17,11,918,16,0,2020.0,6.0
0,34,17,11,502,44,5,2018.0,9.0
0,34,17,11,1983,16,43,2009.0,7.0
0,30,17,3,10047,34,1,2007.0,2.0
0,45,17,11,725,16,8,2015.0,10.0
0,66,17,11,1565,16,19,2012.0,1.0
0,66,17,11,697,16,8,2006.0,5.0
0,66,17,11,8103,16,8,2009.0,5.0
0,7,17,3,9706,32,43,2008.0,8.0
0,34,17,11,2209,44,5,2012.0,6.0
0,66,17,11,4601,44,33,2015.0,7.0
0,45,17,2,6129,44,8,2016.0,11.0
0,45,17,11,8588,16,10,2021.0,12.0
0,34,17,11,422,44,5,2007.0,2.0
2,34,17,11,4026,23,33,2018.0,5.0
0,30,17,0,10767,32,1,2013.0,7.0
0,30,17,1,6650,32,1,2020.0,7.0
0,7,17,11,4654,44,8,2023.0,12.0
0,66,17,11,399,16,8,2006.0,5.0
0,66,17,11,3244,16,33,2023.0,11.0
3,34,14,11,8858,23,33,2014.0,9.0
0,34,17,11,2788,44,5,2013.0,11.0
0,34,17,11,418,44,5,2013.0,1.0
0,34,17,11,1863,16,33,2023.0,4.0
0,66,17,11,1234,16,33,2007.0,3.0
0,66,17,11,4126,44,8,2015.0,11.0
0,70,17,1,8785,16,33,2019.0,9.0
2,66,17,11,1739,16,19,2014.0,11.0
0,60,17,11,9954,53,8,2016.0,6.0
0,52,17,11,5819,44,5,2025.0,2.0
0,34,17,11,2947,44,5,2019.0,3.0
0,34,17,11,8929,16,33,2021.0,12.0
0,34,17,11,2062,57,43,2013.0,11.0
0,66,17,1,10176,44,5,2012.0,9.0
0,66,17,12,6677,57,33,2013.0,8.0
0,34,17,11,3065,6,43,2014.0,1.0
0,34,17,11,3452,16,33,2021.0,1.0
0,66,18,11,4406,16,33,2020.0,6.0
0,30,24,3,11025,32,1,2013.0,3.0
0,34,17,11,2371,44,5,2023.0,10.0
0,66,17,11,9316,16,8,2012.0,6.0
0,30,24,1,10267,32,1,2008.0,10.0
0,66,17,11,3429,16,33,2024.0,7.0
0,34,17,11,2947,44,5,2022.0,6.0
0,34,17,11,2448,44,5,2024.0,4.0
0,7,24,2,6452,32,43,2008.0,2.0
0,45,17,11,5114,53,8,2023.0,2.0
0,57,17,1,565,16,8,2020.0,7.0
0,16,17,11,9325,41,33,2018.0,10.0
0,30,17,1,10985,32,1,2005.0,10.0
0,66,17,11,10255,36,8,2022.0,8.0
0,34,17,11,3789,16,33,2023.0,9.0
0,66,17,11,5040,16,33,2019.0,4.0
0,34,17,11,5430,44,5,2010.0,10.0
0,34,17,11,5675,53,5,2024.0,5.0
0,66,17,11,234,44,5,2014.0,6.0
0,30,17,1,7894,32,1,2020.0,12.0
2,34,17,11,474,44,5,2018.0,2.0
0,16,17,11,6845,44,33,2020.0,6.0
0,66,17,11,6604,44,33,2007.0,5.0
0,30,24,12,56,34,1,2009.0,2.0
0,45,17,0,8666,44,8,2018.0,7.0
0,66,17,11,5212,16,33,2013.0,9.0
0,66,17,11,7736,36,0,2017.0,2.0
0,34,17,11,1977,57,33,2022.0,9.0
0,23,17,1,4501,36,8,2021.0,2.0
0,66,17,11,7799,16,8,2008.0,10.0
0,34,17,11,5460,44,5,2009.0,4.0
0,7,17,7,11029,44,8,2020.0,3.0
0,66,17,11,9107,16,8,2009.0,8.0
0,66,17,11,11127,16,8,2010.0,1.0
0,7,17,3,6696,44,43,2009.0,9.0
3,34,17,11,9328,16,33,2014.0,12.0
0,58,17,12,8060,57,43,2011.0,11.0
0,34,17,11,2947,44,5,2019.0,4.0
0,34,17,2,7072,16,33,2008.0,12.0
0,34,17,11,2154,44,5,2013.0,7.0
0,58,88,11,10288,16,8,2015.0,8.0
0,34,17,11,2321,44,5,2015.0,1.0
0,36,17,11,10727,16,8,2018.0,10.0
3,34,17,0,10929,16,33,2015.0,3.0
0,34,17,11,2310,44,5,2014.0,8.0
3,66,17,0,8517,44,43,2014.0,6.0
0,66,1,11,7256,16,8,2007.0,10.0
0,34,17,11,7083,16,33,2013.0,10.0
0,34,17,11,6030,44,5,2015.0,10.0
0,34,17,11,1579,16,43,2009.0,7.0
0,66,17,11,3345,23,33,2020.0,12.0
0,34,17,11,1455,36,5,2024.0,5.0
0,30,17,0,10883,32,1,2024.0,5.0
0,34,17,11,1448,44,5,2023.0,8.0
0,63,17,11,1079,44,8,2015.0,8.0
0,66,95,11,437,44,5,2015.0,6.0
0,34,17,1,2687,16,33,2008.0,2.0
0,66,17,1,9773,44,5,2016.0,2.0
0,58,17,11,7973,16,30,2010.0,5.0
2,34,17,12,11205,36,33,2013.0,11.0
0,34,17,11,5072,16,8,2021.0,9.0
0,34,17,11,2925,44,5,2014.0,3.0
0,16,17,11,6871,55,33,2017.0,8.0
0,30,24,1,10267,32,1,2008.0,10.0
0,58,17,11,11300,16,10,2012.0,2.0
0,34,17,11,9633,16,33,2016.0,4.0
0,30,24,7,7832,32,1,2021.0,7.0
0,63,17,11,11310,34,8,2011.0,8.0
0,23,17,11,4569,44,8,2017.0,8.0
0,70,17,11,8018,16,33,2015.0,8.0
0,66,17,11,3516,44,33,2010.0,8.0
0,30,17,0,7836,32,1,2010.0,6.0
0,45,17,11,8600,44,8,2015.0,3.0
0,72,94,12,6259,32,43,2020.0,2.0
0,34,17,11,9203,6,8,2012.0,10.0
0,34,17,11,68,44,5,2016.0,4.0
3,66,17,0,9750,44,33,2014.0,8.0
0,66,17,11,1809,16,33,2016.0,11.0
0,66,21,11,3609,16,33,2023.0,5.0
0,34,17,0,8977,16,33,2012.0,6.0
3,66,17,11,4607,16,33,2014.0,11.0
0,66,17,11,5698,16,33,2016.0,8.0
0,30,24,12,10359,32,1,2009.0,3.0
0,30,17,1,10883,32,1,2014.0,7.0
0,7,17,11,9766,44,8,2010.0,7.0
0,66,17,11,1364,36,33,2020.0,4.0
0,30,17,1,7399,32,1,2008.0,6.0
0,66,17,11,4598,44,33,2018.0,9.0
0,13,17,12,7237,32,43,2009.0,11.0
0,61,17,11,1300,44,33,2025.0,8.0
0,66,1,12,7618,44,33,2011.0,11.0
0,66,17,0,254,44,33,2013.0,11.0
0,66,17,11,6036,16,33,2018.0,12.0
0,34,17,11,2732,44,5,2022.0,7.0
0,34,17,11,2390,44,5,2014.0,3.0
0,60,17,3,9952,6,8,2020.0,10.0
2,66,17,11,7945,44,5,2025.0,8.0
0,63,17,0,11067,16,8,2013.0,5.0
0,34,19,11,7096,16,43,2015.0,11.0
0,36,17,11,696,36,8,2020.0,7.0
0,66,17,11,1571,16,19,2019.0,9.0
0,13,88,1,7505,32,43,2010.0,10.0
0,66,17,11,7762,16,0,2015.0,10.0
0,66,17,11,3896,44,33,2013.0,11.0
0,34,17,11,2078,44,5,2012.0,7.0
0,34,17,11,4194,16,33,2023.0,1.0
0,66,17,11,1014,16,33,2017.0,3.0
0,30,24,3,6590,32,1,2009.0,3.0
0,30,24,3,7414,32,1,2011.0,9.0
0,30,17,1,10886,32,1,2010.0,11.0
0,30,24,1,9982,34,1,2013.0,9.0
0,66,17,11,3205,44,8,2013.0,10.0
0,58,17,11,10325,16,10,2014.0,5.0
0,34,17,11,9636,16,43,2007.0,5.0
0,34,17,11,1210,44,5,2014.0,8.0
0,34,17,11,2923,44,5,2016.0,5.0
3,70,59,11,8776,16,33,2021.0,7.0
0,66,1,11,621,16,8,2007.0,3.0
0,58,17,11,10293,44,8,2014.0,8.0
0,34,17,11,1441,44,5,2021.0,7.0
0,66,88,11,9243,16,8,2006.0,11.0
0,66,17,3,9190,16,5,2012.0,11.0
0,66,17,11,4307,16,33,2020.0,7.0
0,30,17,3,10970,32,1,2011.0,12.0
0,45,17,11,636,44,8,2022.0,8.0
0,34,17,11,740,44,5,2015.0,8.0
0,31,17,11,1057,16,8,2023.0,1.0
0,7,17,11,6396,44,43,2008.0,11.0
0,7,17,1,11227,57,19,2015.0,10.0
0,34,17,11,9061,16,33,2011.0,7.0
0,34,17,0,3655,44,5,2009.0,1.0
0,34,17,11,7040,16,33,2018.0,11.0
0,34,17,11,5469,44,5,2022.0,2.0
0,34,17,11,4962,16,33,2010.0,5.0
0,34,17,11,2926,44,5,2016.0,8.0
0,66,17,11,5916,16,33,2009.0,12.0
0,66,17,1,3422,16,33,2023.0,9.0
0,7,17,3,8410,32,43,2009.0,8.0
0,34,17,11,2879,44,5,2008.0,4.0
0,66,17,11,3475,44,8,2008.0,10.0
0,38,17,11,8524,44,10,2024.0,4.0
0,30,24,0,10886,32,1,2011.0,5.0
2,34,17,11,11281,16,33,2022.0,8.0
0,34,17,11,2558,44,5,2014.0,3.0
0,34,17,11,1191,44,5,2013.0,12.0
0,70,88,12,6257,32,27,2013.0,6.0
3,34,17,11,1282,44,5,2014.0,3.0
0,30,24,3,52,57,1,2009.0,2.0
0,23,17,0,4529,44,8,2023.0,3.0
0,34,17,11,1200,44,5,2010.0,2.0
0,34,14,11,6302,16,33,2019.0,9.0
0,58,17,0,10319,16,8,2017.0,2.0
0,34,17,11,3519,44,5,2009.0,7.0
0,34,17,11,2179,44,5,2013.0,5.0
0,23,17,0,4484,44,8,2025.0,9.0
0,30,17,12,10891,32,1,2010.0,3.0
0,34,17,11,2816,44,43,2013.0,11.0
0,34,17,11,5092,57,33,2018.0,5.0
0,34,17,11,768,44,5,2014.0,11.0
0,7,17,2,9728,32,43,2009.0,8.0
0,66,17,11,6686,6,43,2014.0,6.0
0,45,17,11,5097,36,8,2020.0,5.0
0,7,17,0,8331,32,43,2009.0,3.0
0,23,17,0,4368,47,8,2026.0,2.0
0,30,17,2,10052,16,1,2005.0,9.0
2,66,17,11,9046,16,33,2015.0,9.0
0,34,17,11,3737,44,5,2011.0,4.0
0,30,17,1,7910,32,1,2019.0,6.0
